            50.0  0.7978 270.7  2.13460e+16 6.6216e+10 4.46424e+15 1.11606e+11 7.0488e+12 9.46248e+06
            47.5  1.09   270.6  2.91750e+16 1.1972e+11 6.1028e+15 1.533e+11 9.636e+12 1.94472e+07
            45.0  1.491  264.2  4.08749e+16 2.14725e+11 8.5481e+15 2.13702e+11 1.3497e+13 4.7035e+07
            42.5  2.06   257.3  5.79882e+16 3.59786e+11 1.21283e+16 2.98854e+11 1.91499e+13 1.25925e+08
            40.0  2.871  250.4  8.30445e+16 6.06630e+11 1.73679e+16 4.17578e+11 2.7423e+13 3.34893e+08
            37.5  4.15   242.9  1.23746e+17 9.65640e+11 2.58742e+16 6.1281e+11 4.0854e+13 7.74988e+08
            35.0  5.746  236.5  1.75973e+17 1.38010e+12 3.68049e+16 8.6289e+11 5.8113e+13 1.28201e+09
            32.5  8.01   230.0  2.52242e+17 1.86094e+12 5.27516e+16 1.21783e+12 8.3292e+13 1.8198e+09
            30.0  11.97  226.5  3.82770e+17 2.50980e+12 8.0047e+16 1.80968e+12 1.2639e+14 2.35928e+09
            27.5  17.43  224.0  5.63587e+17 3.27289e+12 1.17876e+17 2.5803e+12 1.8612e+14 2.71284e+09
              25  25.49  221.6  8.33128e+17 4.26688e+12 1.74243e+17 3.68912e+12 2.75121e+14 3.11804e+09
              24  29.72  220.6  9.75787e+17 4.51826e+12 2.04088e+17 4.19895e+12 3.22245e+14 2.98809e+09
              23  34.67  219.6  1.14349e+18 4.76819e+12 2.39096e+17 4.8048e+12 3.7752e+14 2.95152e+09
              22  40.47  218.6  1.3409e+18  4.89427e+12 2.80478e+17 5.45523e+12 4.4286e+14 2.89872e+09
              21  47.29  217.6  1.57406e+18 4.76910e+12 3.29175e+17 6.26062e+12 5.1975e+14 2.772e+09
              20  55.29  216.7  1.84799e+18 4.76857e+12 3.86441e+17 7.2111e+12 6.1017e+14 2.57011e+09
              19  64.67  216.7  2.16150e+18 4.39089e+12 4.52067e+17 8.32755e+12 7.1379e+14 2.29278e+09
              18  75.65  216.7  2.52849e+18 4.01511e+12 5.2877e+17 9.67725e+12 8.349e+14 1.95063e+09
              17  88.5   216.7  2.95799e+18 3.51352e+12 6.1864e+17 1.1396e+13 9.768e+14 1.53624e+09
              16  103.5  216.7  3.45934e+18 3.01229e+12 7.23558e+17 1.36749e+13 1.14246e+15 1.10438e+09
              15  121.1  216.7  4.04760e+18 2.63452e+12 8.4645e+17 2.025e+13 1.3365e+15 6.9255e+08
              14  141.7  216.7  4.73612e+18 2.38372e+12 9.90451e+17 2.8088e+13 1.56387e+15 3.54477e+08
              13  165.8  216.7  5.54163e+18 2.13299e+12 1.15911e+18 6.01741e+13 1.83018e+15 2.46797e+08
              12  194.0  216.7  6.48417e+18 2.00834e+12 1.3562e+18 1.2368e+14 2.14137e+15 2.04404e+08
              11  227.0  216.8  7.58365e+18 1.63088e+12 1.5861e+18 2.74191e+14 2.50437e+15 1.98832e+08
              10  265.0  223.3  8.59546e+18 1.12944e+12 1.79782e+18 6.01796e+14 2.83866e+15 2.04728e+08
               9  308.0  229.7  9.71184e+18 8.91038e+11 2.03127e+18 1.53852e+15 3.20727e+15 2.25481e+08
               8  356.5  236.2  1.09318e+19 6.52680e+11 2.28646e+18 4.0117e+15 3.6102e+15 2.5162e+08
               7  411.1  242.7  1.22684e+19 6.15105e+11 2.56652e+18 7.02416e+15 4.0524e+15 2.8244e+08
               6  472.2  249.2  1.37243e+19 5.64578e+11 2.86957e+18 1.27057e+16 4.5309e+15 3.1579e+08
               5  540.5  255.7  1.53101e+19 5.77258e+11 3.20188e+18 2.1402e+16 5.0556e+15 3.5236e+08
               4  616.6  262.2  1.70327e+19 5.77145e+11 3.56136e+18 3.67723e+16 5.6232e+15 3.9192e+08
               3  701.2  268.7  1.89010e+19 6.27434e+11 3.95219e+18 6.01716e+16 6.2403e+15 4.3493e+08
               2  795    275.2  2.09233e+19 6.77828e+11 4.37646e+18 9.69732e+16 6.9102e+15 4.8162e+08
               1  898.8  281.7  2.31094e+19 6.77940e+11 4.83417e+18 1.40422e+17 7.6329e+15 5.3199e+08
               0  1013   288.2  2.54582e+19 6.77768e+11 5.32532e+18 1.97343e+17 8.4084e+15 5.8604e+08
